contract,source,bars,start_date,end_date,total_days,trades,total_return%,annual_return%,max_dd%,sharpe,total_pnl,commission,win_rate%,elapsed_s
p2201.DCE,Wind,28402,2021-08-13,2021-12-17,84,117,-0.30100200000000576,-0.8600057142857307,-0.574125800000003,-0.7147697072337995,-3010.0200000000013,1050.0200000000002,0,5.1
p2205.DCE,Wind,27020,2021-12-15,2022-04-15,80,118,1.3284288000000144,3.985286400000043,-0.851883768957685,1.531439092353187,13284.288,1195.712,0,5.3
p2209.DCE,Wind,28408,2022-04-15,2022-08-16,84,116,6.736243200000014,19.246409142857182,-2.2393530105290482,4.143997261358155,67362.43199999999,1197.5680000000002,0,5.1
p2301.DCE,Wind,27735,2022-08-15,2022-12-14,82,108,-0.5977158000000093,-1.749412097561003,-0.5977158000000055,-2.5660923775040607,-5977.158,877.158,0,5.0
p2305.DCE,Wind,23282,2022-12-30,2023-04-14,69,90,-0.6005621999999988,-2.088911999999996,-0.6562023999999976,-2.4164738679134463,-6005.621999999999,715.6220000000001,0,4.3
p2309.DCE,Wind,26215,2023-04-20,2023-08-11,77,100,0.5965511999999951,1.8593803636363482,-0.20142995017445775,1.7566464751826778,5965.512,714.488,0,4.7
p2401.DCE,Wind,27676,2023-08-14,2023-12-12,81,116,-0.6318217999999987,-1.8720645925925887,-0.638824199999997,-4.180702617075033,-6318.218,858.218,0,5.0
p2405.DCE,Wind,28502,2023-12-06,2024-04-12,84,133,0.572872000000002,1.6367771428571487,-0.24103242489505902,1.71451203466926,5728.72,991.28,0,5.2
p2409.DCE,Wind,50243,2024-01-12,2024-08-22,148,226,0.3809579999999979,0.6177697297297263,-0.4066617144439475,0.9546086839508322,3809.58,1690.42,0,9.1
p2501.DCE,Wind,55406,2024-04-25,2024-12-24,163,275,-0.07640379999999114,-0.11249639263802377,-0.607839544542465,-0.1141901284725362,-764.0380000000005,2284.0380000000005,0,10.2
p2505.DCE,Wind,28223,2024-12-09,2025-04-14,83,120,0.19339919999998845,0.5592266024096052,-0.4038599927281037,0.6457034090617514,1933.9920000000002,1066.008,0,5.1
p2509.DCE,Wind,27907,2025-04-15,2025-08-12,82,119,-0.043484599999998874,-0.1272719999999967,-0.27430961956495625,-0.22697686007513207,-434.8460000000001,994.8460000000001,0,5.1
p2601.DCE,XT,30231,2025-07-01,2025-11-07,88,123,1.4931669999999952,4.072273636363623,-0.3837814678737356,3.426105611985745,14931.669999999998,1128.3300000000002,0,5.5
