entry_time,exit_time,direction,entry,exit,pnl,signal_type,hold_minutes,snap_bi_count,snap_pivot_count,snap_k_lines_count,snap_last_pivot_zg,snap_last_pivot_zd,snap_last_pivot_end_bi,snap_bi_since_pivot,snap_price_vs_pivot,snap_bi_n1_type,snap_bi_n1_price,snap_bi_n2_type,snap_bi_n2_price,snap_bi_n3_type,snap_bi_n3_price,snap_atr,snap_atr_pct,snap_diff_15m,snap_dea_15m
2021-12-16 10:06:00,2021-12-16 10:10:00,1,7760.0,7729.0,-31.0,3B,4,5,1,45,7698.0,7642.0,3,1,above,bottom,7730.0,top,7778.0,bottom,7642.0,,,,
2021-12-16 21:01:00,2021-12-16 21:02:00,1,7818.0,7801.0,-17.0,3B,1,7,2,69,7778.0,7702.0,5,1,above,bottom,7802.0,top,7842.0,bottom,7702.0,,,,
2021-12-17 09:31:00,2021-12-17 11:06:00,1,7988.0,7957.0,-31.0,3B,95,9,3,91,7842.0,7796.0,7,1,above,bottom,7958.0,top,8012.0,bottom,7796.0,,,,
2021-12-17 14:31:00,2021-12-17 22:14:00,-1,7994.0,7942.857142857143,51.14285714285688,2S,463,12,6,113,8018.0,7958.0,11,0,inside,top,8018.0,bottom,7932.0,top,8024.0,,,,
2021-12-20 11:21:00,2021-12-20 21:06:00,-1,7796.0,7746.857142857143,49.14285714285688,3S,585,16,9,154,7970.0,7882.0,14,1,below,top,7830.0,bottom,7768.0,top,7970.0,,,,
2021-12-20 21:21:00,2021-12-20 21:26:00,-1,7744.0,7763.0,-19.0,3S,5,18,10,171,7830.0,7768.0,16,1,below,top,7762.0,bottom,7704.0,top,7830.0,,,,
2021-12-21 09:01:00,2021-12-21 14:40:00,1,7814.0,7919.714285714285,105.71428571428532,2B,339,19,11,182,7810.0,7738.0,18,0,inside,bottom,7738.0,top,7810.0,bottom,7704.0,,,,
2021-12-21 14:40:00,2021-12-22 10:45:00,1,7928.0,7991.285714285715,63.285714285714675,3B,1205,22,13,211,7918.0,7838.0,21,0,above,top,7972.0,bottom,7838.0,top,7918.0,17.428571428571427,0.055,37.06684382158073,24.114664347916396
2021-12-22 10:56:00,2021-12-22 21:38:00,1,8000.0,8079.428571428572,79.42857142857156,3B,642,25,15,241,7966.0,7916.0,23,1,above,bottom,7976.0,top,8068.0,bottom,7916.0,,,,
2021-12-22 21:56:00,2021-12-22 22:01:00,1,8086.0,8069.0,-17.0,3B,5,29,18,266,8056.0,8012.0,27,1,above,bottom,8070.0,top,8154.0,bottom,8012.0,,,,
2021-12-23 09:39:00,2021-12-23 09:40:00,1,8130.0,8113.0,-17.0,2B,1,31,20,282,8154.0,8114.0,30,0,inside,bottom,8114.0,top,8188.0,bottom,8060.0,,,,
2021-12-23 10:36:00,2021-12-23 13:30:00,-1,8124.0,8155.0,-31.0,2S,174,32,21,288,8154.0,8104.0,31,0,inside,top,8154.0,bottom,8104.0,top,8188.0,,,,
2021-12-23 21:00:00,2021-12-23 22:20:00,-1,8098.0,8147.0,-49.0,2S,80,36,25,309,8146.0,8096.0,35,0,inside,top,8146.0,bottom,8096.0,top,8174.0,22.428571428571427,0.63,15.4581435525306,19.762770474826937
2021-12-24 21:42:00,2021-12-24 21:57:00,1,8368.0,8351.0,-17.0,3B,15,39,27,362,8146.0,8096.0,37,1,above,bottom,8352.0,top,8410.0,bottom,8074.0,,,,
2021-12-27 10:46:00,2021-12-27 10:53:00,-1,8364.0,8387.0,-23.0,2S,7,42,30,384,8386.0,8350.0,41,0,inside,top,8386.0,bottom,8322.0,top,8416.0,,,,
2021-12-27 14:47:00,2021-12-27 21:46:00,-1,8342.0,8363.0,-21.0,2S,419,44,32,400,8362.0,8328.0,43,0,inside,top,8362.0,bottom,8328.0,top,8402.0,,,,
2021-12-28 09:31:00,2021-12-28 10:34:00,1,8398.0,8365.0,-33.0,2B,63,49,37,421,8376.0,8366.0,48,0,inside,bottom,8366.0,top,8486.0,bottom,8336.0,,,,
2021-12-28 14:31:00,2021-12-28 21:59:00,1,8436.0,8464.0,28.0,2B,448,53,41,447,8410.0,8406.0,52,0,inside,bottom,8406.0,top,8518.0,bottom,8338.0,,,,
2021-12-29 09:01:00,2021-12-29 09:13:00,-1,8426.0,8451.0,-25.0,2S,12,56,44,471,8450.0,8424.0,55,0,inside,top,8450.0,bottom,8424.0,top,8552.0,,,,
2021-12-29 14:27:00,2021-12-29 21:00:00,-1,8328.0,8346.0,-18.0,3S,393,58,45,499,8456.0,8428.0,56,1,below,top,8338.0,bottom,8296.0,top,8456.0,,,,
2021-12-30 09:21:00,2021-12-30 13:35:00,1,8442.0,8450.42857142857,8.428571428570649,2B,254,59,46,520,8446.0,8418.0,58,0,inside,bottom,8418.0,top,8446.0,bottom,8296.0,,,,
2021-12-30 14:41:00,2021-12-30 22:36:00,-1,8460.0,8487.0,-27.0,2S,475,62,49,547,8486.0,8418.0,61,0,inside,top,8486.0,bottom,8408.0,top,8512.0,,,,
2021-12-31 10:11:00,2021-12-31 11:07:00,-1,8474.0,8497.0,-23.0,2S,56,66,53,581,8496.0,8416.0,65,0,inside,top,8496.0,bottom,8416.0,top,8506.0,,,,
2021-12-31 11:07:00,2022-01-04 09:27:00,1,8492.0,8616.142857142857,124.14285714285688,2B,5660,67,54,588,8496.0,8432.0,66,0,inside,bottom,8432.0,top,8496.0,bottom,8416.0,,,,
2022-01-04 09:27:00,2022-01-04 13:50:00,1,8636.0,8653.0,17.0,2B,263,70,57,612,8552.0,8492.0,69,0,above,top,8716.0,bottom,8492.0,top,8552.0,,,,
2022-01-04 13:50:00,2022-01-05 09:51:00,1,8660.0,8829.857142857143,169.85714285714312,3B,1201,72,58,632,8716.0,8552.0,71,0,above,top,8750.0,bottom,8552.0,top,8716.0,26.142857142857142,0.66,62.27182568227181,51.57485718020286
2022-01-05 10:01:00,2022-01-05 10:08:00,1,8842.0,8825.0,-17.0,3B,7,75,60,665,8696.0,8640.0,73,1,above,bottom,8826.0,top,8920.0,bottom,8640.0,,,,
2022-01-05 13:46:00,2022-01-05 14:17:00,-1,8820.0,8849.0,-29.0,2S,31,76,61,676,8848.0,8814.0,75,0,inside,top,8848.0,bottom,8814.0,top,8920.0,,,,
2022-01-06 10:46:00,2022-01-06 21:00:00,-1,8736.0,8793.0,-57.0,3S,614,82,66,716,8880.0,8858.0,80,1,below,top,8792.0,bottom,8750.0,top,8906.0,,,,
2022-01-06 22:41:00,2022-01-06 22:56:00,1,8870.0,8845.0,-25.0,3B,15,87,70,751,8752.0,8702.0,85,1,above,bottom,8846.0,top,8894.0,bottom,8692.0,,,,
2022-01-07 21:16:00,2022-01-07 22:51:00,-1,8850.0,8766.285714285714,83.71428571428623,2S,95,90,73,787,8884.0,8814.0,89,0,inside,top,8884.0,bottom,8814.0,top,8892.0,,,,
2022-01-10 09:06:00,2022-01-10 09:38:00,-1,8724.0,8793.0,-69.0,3S,32,92,74,806,8884.0,8830.0,90,1,below,top,8792.0,bottom,8682.0,top,8884.0,,,,
2022-01-10 13:31:00,2022-01-10 21:00:00,1,8918.0,8906.0,-12.0,3B,449,95,76,827,8792.0,8726.0,93,1,above,bottom,8834.0,top,8882.0,bottom,8726.0,,,,
2022-01-10 22:06:00,2022-01-10 22:14:00,-1,8856.0,8877.0,-21.0,2S,8,98,79,849,8876.0,8834.0,97,0,inside,top,8876.0,bottom,8822.0,top,9010.0,,,,
2022-01-11 09:51:00,2022-01-11 10:56:00,-1,8810.0,8833.0,-23.0,2S,65,100,81,866,8832.0,8822.0,99,0,inside,top,8832.0,bottom,8780.0,top,8886.0,,,,
2022-01-11 14:36:00,2022-01-11 21:19:00,1,8914.0,8932.714285714286,18.714285714286234,3B,403,103,83,888,8832.0,8782.0,101,1,above,bottom,8870.0,top,8912.0,bottom,8782.0,,,,
2022-01-11 21:51:00,2022-01-11 22:00:00,1,8928.0,8909.0,-19.0,2B,9,105,85,898,8912.0,8910.0,104,0,inside,bottom,8910.0,top,9004.0,bottom,8870.0,,,,
