entry_time,exit_time,direction,entry,exit,pnl,signal_type,stop_price,holding_min,ctx_sig_bar_time,ctx_trigger_price,ctx_stop_base,ctx_atr,ctx_macd15_gap,ctx_ma60_slope,ctx_ret_20,ctx_range_20_atr,ctx_bi_idx,ctx_bi_type,ctx_bi_price,ctx_prev_bi_price,ctx_prev2_bi_price,ctx_pivot_zg,ctx_pivot_zd,ctx_pivot_age,ctx_entry_price,loss_mode
2023-08-15 22:22:00,2023-08-15 22:34:00,1,7564.0,7537.0,-27.0,3B,7537.0,12.0,2023-08-15 22:10:00,7564.0,7538.0,17.285714285714285,6.780246702717498,23.03333333333285,0.004782146652497321,4.1652892561983474,5,bottom,7538.0,7574.0,7234.0,7280.0,7240.0,1.0,7564.0,chase_stop
2023-08-16 09:55:00,2023-08-16 11:05:00,-1,7518.0,7529.0,-11.0,2S,7529.0,70.0,2023-08-16 09:50:00,7518.0,7528.0,19.285714285714285,-11.566917604682551,10.066666666666606,-0.004236166269526054,4.251851851851852,6,top,7528.0,7484.0,7574.0,7528.0,7484.0,0.0,7518.0,stop
2023-08-17 10:47:00,2023-08-17 11:11:00,-1,7550.0,7561.0,-11.0,2S,7561.0,24.0,2023-08-17 10:45:00,7550.0,7560.0,15.142857142857142,-5.2271109397398074,2.0,-0.003694906307732948,4.358490566037736,14,top,7560.0,7504.0,7586.0,7560.0,7532.0,0.0,7550.0,chase_stop
2023-08-17 21:01:00,2023-08-18 10:37:00,1,7610.0,7626.285714285715,16.285714285714675,3B,7626.285714285715,816.0,2023-08-17 21:00:00,7598.0,7588.0,17.0,3.7019223510594426,3.5333333333328483,0.0055511498810467685,5.294117647058823,17,bottom,7588.0,7606.0,7542.0,7560.0,7542.0,1.0,7610.0,win
2023-08-18 14:36:00,2023-08-18 21:37:00,-1,7618.0,7602.285714285715,15.714285714285325,2S,7602.285714285715,421.0,2023-08-18 14:35:00,7626.0,7638.0,11.857142857142858,-4.797855912152205,0.36666666666678793,-0.00418300653594772,3.542168674698795,22,top,7638.0,7614.0,7676.0,7638.0,7614.0,0.0,7618.0,win
2023-08-18 22:21:00,2023-08-21 09:00:00,-1,7604.0,7656.0,-52.0,2S,7623.0,3519.0,2023-08-18 22:20:00,7606.0,7622.0,15.0,-6.798794998028183,-2.16666666666697,-0.002623294858342118,5.2,24,top,7622.0,7550.0,7638.0,7622.0,7614.0,0.0,7604.0,slow_bleed
2023-08-21 10:31:00,2023-08-21 14:04:00,1,7732.0,7659.0,-73.0,3B,7659.0,213.0,2023-08-21 10:30:00,7698.0,7660.0,26.285714285714285,13.451595654871532,6.599999999999454,0.015231092436974736,6.391304347826087,27,bottom,7660.0,7768.0,7600.0,7622.0,7600.0,1.0,7732.0,slow_bleed
2023-08-21 14:46:00,2023-08-21 21:12:00,-1,7654.0,7693.0,-39.0,2S,7693.0,386.0,2023-08-21 14:45:00,7678.0,7692.0,15.428571428571429,-5.7374669641836675,7.199999999999818,-0.005717255717255676,3.5,30,top,7692.0,7646.0,7716.0,7692.0,7660.0,0.0,7654.0,slow_bleed
2023-08-21 22:49:00,2023-08-22 09:20:00,-1,7640.0,7655.0,-15.0,2S,7655.0,631.0,2023-08-21 22:45:00,7640.0,7654.0,17.571428571428573,-7.810886371327986,-8.899999999999636,-0.004171011470281538,4.439024390243902,32,top,7654.0,7616.0,7694.0,7654.0,7646.0,0.0,7640.0,slow_bleed
2023-08-22 13:31:00,2023-08-22 14:00:00,-1,7608.0,7584.285714285715,23.714285714285325,2S,7584.285714285715,29.0,2023-08-22 13:30:00,7608.0,7620.0,18.142857142857142,-3.630863489155006,-4.83333333333394,-0.006269592476489061,4.409448818897638,34,top,7620.0,7588.0,7680.0,7620.0,7616.0,0.0,7608.0,win
2023-08-22 22:06:00,2023-08-22 22:14:00,1,7638.0,7621.0,-17.0,3B,7621.0,8.0,2023-08-22 22:05:00,7638.0,7622.0,21.0,5.60412501694123,0.16666666666696983,0.0036793692509855536,4.0,37,bottom,7622.0,7666.0,7532.0,7618.0,7588.0,1.0,7638.0,chase_stop
2023-08-23 09:41:00,2023-08-23 09:57:00,-1,7522.0,7547.0,-25.0,2S,7547.0,16.0,2023-08-23 09:40:00,7532.0,7546.0,23.285714285714285,-8.930768882717551,-7.233333333333576,-0.015449070437287271,7.042944785276074,38,top,7546.0,7476.0,7666.0,7546.0,7532.0,0.0,7522.0,chase_stop
2023-08-23 14:11:00,2023-08-23 14:21:00,1,7584.0,7571.0,-13.0,2B,7571.0,10.0,2023-08-23 14:10:00,7584.0,7572.0,13.714285714285714,6.062798529433415,-3.199999999999818,0.005039787798408524,5.104166666666667,39,bottom,7572.0,7604.0,7476.0,7604.0,7572.0,0.0,7584.0,chase_stop
2023-08-24 10:06:00,2023-08-24 10:53:00,1,7722.0,7705.0,-17.0,3B,7705.0,47.0,2023-08-24 10:05:00,7718.0,7706.0,20.285714285714285,16.86085529869333,12.0,0.012326252294780904,6.408450704225352,41,bottom,7706.0,7740.0,7528.0,7588.0,7528.0,1.0,7722.0,chase_stop
