entry_time,exit_time,direction,entry,exit,pnl,signal_type,hold_minutes,snap_bi_count,snap_pivot_count,snap_k_lines_count,snap_last_pivot_zg,snap_last_pivot_zd,snap_last_pivot_end_bi,snap_bi_since_pivot,snap_price_vs_pivot,snap_bi_n1_type,snap_bi_n1_price,snap_bi_n2_type,snap_bi_n2_price,snap_bi_n3_type,snap_bi_n3_price,snap_atr,snap_atr_pct,snap_diff_15m,snap_dea_15m
2025-01-21 21:31:00,2025-01-22 09:01:00,-1,8464.0,8449.714285714286,14.285714285713766,2S,690,6,3,48,8482.0,8432.0,5,0,inside,top,8482.0,bottom,8424.0,top,8510.0,,,,
2025-01-22 09:01:00,2025-01-22 09:12:00,-1,8436.0,8453.0,-17.0,2S,11,8,5,56,8452.0,8426.0,7,0,inside,top,8452.0,bottom,8426.0,top,8482.0,,,,
2025-01-22 21:36:00,2025-01-23 09:24:00,-1,8370.0,8345.0,25.0,3S,708,10,6,90,8470.0,8434.0,8,1,below,top,8384.0,bottom,8354.0,top,8470.0,,,,
2025-01-23 14:26:00,2025-01-23 21:01:00,-1,8252.0,8276.0,-24.0,3S,395,14,9,126,8384.0,8356.0,12,1,below,top,8274.0,bottom,8252.0,top,8384.0,,,,
2025-01-24 09:41:00,2025-01-24 14:54:00,1,8262.0,8265.857142857143,3.857142857143117,2B,313,17,12,144,8274.0,8234.0,16,0,inside,bottom,8234.0,top,8328.0,bottom,8224.0,,,,
2025-01-24 22:31:00,2025-02-05 09:07:00,1,8300.0,8582.42857142857,282.42857142857065,2B,16476,23,18,182,8316.0,8280.0,22,0,inside,bottom,8280.0,top,8338.0,bottom,8240.0,,,,
2025-02-05 11:11:00,2025-02-05 21:01:00,1,8538.0,8568.0,30.0,3B,590,25,19,227,8334.0,8280.0,23,1,above,bottom,8488.0,top,8620.0,bottom,8280.0,,,,
2025-02-06 10:01:00,2025-02-06 10:03:00,-1,8578.0,8595.0,-17.0,2S,2,28,22,256,8594.0,8540.0,27,0,inside,top,8594.0,bottom,8540.0,top,8636.0,,,,
2025-02-06 21:06:00,2025-02-07 21:21:00,1,8716.0,8850.857142857143,134.85714285714312,3B,1455,29,22,277,8594.0,8540.0,27,1,above,bottom,8684.0,top,8738.0,bottom,8540.0,,,,
2025-02-07 21:21:00,2025-02-10 09:06:00,1,8856.0,8905.42857142857,49.42857142857065,3B,3585,34,26,315,8820.0,8796.0,33,0,above,top,8898.0,bottom,8796.0,top,8820.0,,,,
2025-02-10 10:46:00,2025-02-10 10:54:00,-1,8910.0,8939.0,-29.0,2S,8,38,29,338,8938.0,8898.0,37,0,inside,top,8938.0,bottom,8898.0,top,8950.0,,,,
2025-02-11 10:51:00,2025-02-11 11:05:00,1,9084.0,9053.0,-31.0,3B,14,41,31,379,8992.0,8928.0,39,1,above,bottom,9054.0,top,9132.0,bottom,8928.0,,,,
2025-02-11 14:06:00,2025-02-11 14:17:00,-1,9068.0,9079.0,-11.0,2S,11,42,32,388,9078.0,9036.0,41,0,inside,top,9078.0,bottom,9036.0,top,9132.0,,,,
2025-02-12 13:31:00,2025-02-12 14:32:00,1,9166.0,9172.714285714286,6.714285714286234,3B,61,45,34,425,9080.0,9052.0,43,1,above,bottom,9142.0,top,9208.0,bottom,9052.0,,,,
2025-02-12 22:56:00,2025-02-13 21:42:00,-1,9148.0,8945.857142857143,202.14285714285688,2S,1366,48,37,447,9162.0,9142.0,47,0,inside,top,9162.0,bottom,9076.0,top,9222.0,,,,
2025-02-13 21:42:00,2025-02-13 21:46:00,-1,8940.0,8957.0,-17.0,3S,4,52,39,477,9074.0,9032.0,50,1,below,top,8956.0,bottom,8914.0,top,9074.0,,,,
2025-02-13 22:56:00,2025-02-14 10:31:00,1,8988.0,9046.285714285714,58.285714285713766,2B,695,53,40,488,8980.0,8954.0,52,0,inside,bottom,8954.0,top,8980.0,bottom,8914.0,,,,
2025-02-14 10:56:00,2025-02-14 14:28:00,1,9018.0,9030.285714285714,12.285714285713766,2B,212,55,42,503,8980.0,8962.0,54,0,inside,bottom,8962.0,top,9108.0,bottom,8954.0,,,,
2025-02-14 21:01:00,2025-02-14 21:02:00,1,9076.0,9055.0,-21.0,2B,1,57,44,521,9086.0,9056.0,56,0,inside,bottom,9056.0,top,9086.0,bottom,8962.0,,,,
2025-02-17 10:01:00,2025-02-17 11:11:00,-1,9042.0,9049.42857142857,-7.428571428570649,2S,70,60,47,543,9080.0,9040.0,59,0,inside,top,9080.0,bottom,9008.0,top,9082.0,,,,
2025-02-17 11:21:00,2025-02-17 14:29:00,-1,9016.0,9053.0,-37.0,2S,188,62,49,552,9052.0,9008.0,61,0,inside,top,9052.0,bottom,8988.0,top,9080.0,,,,
2025-02-17 22:11:00,2025-02-17 22:28:00,1,9072.0,9053.0,-19.0,3B,17,65,51,566,9052.0,9010.0,63,1,above,bottom,9054.0,top,9118.0,bottom,9010.0,,,,
2025-02-18 13:47:00,2025-02-18 21:01:00,-1,9044.0,9041.57142857143,2.428571428570649,2S,434,68,54,593,9076.0,9040.0,67,0,inside,top,9076.0,bottom,8994.0,top,9110.0,,,,
2025-02-19 10:56:00,2025-02-19 21:22:00,1,9158.0,9233.42857142857,75.42857142857065,3B,626,71,56,627,9060.0,8994.0,69,1,above,bottom,9140.0,top,9188.0,bottom,8994.0,,,,
2025-02-19 21:56:00,2025-02-19 22:55:00,1,9234.0,9221.0,-13.0,3B,59,75,59,652,9206.0,9176.0,73,1,above,bottom,9222.0,top,9284.0,bottom,9176.0,,,,
2025-02-20 14:44:00,2025-02-21 09:37:00,1,9344.0,9404.42857142857,60.42857142857065,3B,1133,79,62,686,9256.0,9222.0,77,1,above,bottom,9326.0,top,9364.0,bottom,9170.0,,,,
2025-02-21 11:16:00,2025-02-24 14:16:00,-1,9424.0,9244.285714285714,179.71428571428623,2S,4500,82,64,719,9438.0,9372.0,81,0,inside,top,9438.0,bottom,9372.0,top,9448.0,,,,
2025-02-24 22:56:00,2025-02-25 09:50:00,-1,9160.0,9185.0,-25.0,3S,654,90,69,790,9238.0,9206.0,88,1,below,top,9184.0,bottom,9136.0,top,9254.0,,,,
2025-02-25 14:26:00,2025-02-25 14:48:00,1,9272.0,9241.0,-31.0,2B,22,91,70,816,9254.0,9242.0,90,0,inside,bottom,9242.0,top,9324.0,bottom,9136.0,,,,
2025-02-25 22:01:00,2025-02-25 22:06:00,-1,9172.0,9187.0,-15.0,2S,5,92,71,829,9186.0,9148.0,91,0,inside,top,9186.0,bottom,9148.0,top,9324.0,,,,
2025-02-26 14:06:00,2025-02-26 21:31:00,1,9198.0,9181.0,-17.0,2B,445,95,74,855,9192.0,9182.0,94,0,inside,bottom,9182.0,top,9222.0,bottom,9128.0,,,,
2025-02-27 22:41:00,2025-02-28 09:01:00,1,9104.0,9074.0,-30.0,2B,620,101,79,918,9088.0,9082.0,100,0,inside,bottom,9082.0,top,9120.0,bottom,9062.0,,,,
2025-02-28 14:46:00,2025-02-28 22:51:00,1,9110.0,9085.0,-25.0,2B,485,105,83,947,9092.0,9086.0,104,0,inside,bottom,9086.0,top,9106.0,bottom,9018.0,,,,
2025-03-03 10:41:00,2025-03-03 21:27:00,-1,9096.0,9067.142857142857,28.857142857143117,2S,646,108,86,976,9126.0,9086.0,107,0,inside,top,9126.0,bottom,9054.0,top,9150.0,,,,
2025-03-04 11:01:00,2025-03-04 11:25:00,-1,8820.0,8835.0,-15.0,3S,24,114,91,1028,9068.0,9038.0,112,1,below,top,8834.0,bottom,8816.0,top,9080.0,,,,
2025-03-05 09:06:00,2025-03-05 09:36:00,1,8828.0,8775.0,-53.0,2B,30,117,93,1056,8816.0,8776.0,116,0,inside,bottom,8776.0,top,8816.0,bottom,8754.0,,,,
2025-03-05 21:46:00,2025-03-05 22:08:00,1,8806.0,8793.0,-13.0,2B,22,119,95,1091,8816.0,8794.0,118,0,inside,bottom,8794.0,top,8860.0,bottom,8746.0,,,,
2025-03-06 13:36:00,2025-03-07 09:07:00,1,8856.0,8951.285714285714,95.28571428571377,2B,1171,121,97,1117,8860.0,8840.0,120,0,inside,bottom,8840.0,top,8886.0,bottom,8766.0,,,,
