entry_time,exit_time,direction,entry,exit,pnl,signal_type,hold_minutes,snap_bi_count,snap_pivot_count,snap_k_lines_count,snap_last_pivot_zg,snap_last_pivot_zd,snap_last_pivot_end_bi,snap_bi_since_pivot,snap_price_vs_pivot,snap_bi_n1_type,snap_bi_n1_price,snap_bi_n2_type,snap_bi_n2_price,snap_bi_n3_type,snap_bi_n3_price,snap_atr,snap_atr_pct,snap_diff_15m,snap_dea_15m
2023-12-07 10:06:00,2023-12-07 10:36:00,-1,6928.0,6955.0,-27.0,3S,30,6,2,54,7098.0,7052.0,4,1,below,top,6954.0,bottom,6860.0,top,7108.0,,,,
2023-12-07 14:11:00,2023-12-08 09:26:00,1,6998.0,7108.0,110.0,2B,1155,7,3,72,7016.0,6980.0,6,0,inside,bottom,6980.0,top,7016.0,bottom,6860.0,,,,
2023-12-08 09:26:00,2023-12-08 21:24:00,1,7114.0,7162.428571428572,48.42857142857156,3B,718,10,5,97,7112.0,7078.0,9,0,above,top,7150.0,bottom,7078.0,top,7118.0,,,,
2023-12-08 22:11:00,2023-12-11 09:35:00,-1,7170.0,7151.142857142857,18.857142857143117,2S,3564,14,7,128,7184.0,7154.0,13,0,inside,top,7184.0,bottom,7154.0,top,7198.0,,,,
2023-12-12 10:11:00,2023-12-12 10:30:00,1,7218.0,7199.0,-19.0,2B,19,21,12,193,7214.0,7200.0,20,0,inside,bottom,7200.0,top,7250.0,bottom,7166.0,,,,
2023-12-12 14:36:00,2023-12-12 21:04:00,-1,7218.0,7187.285714285715,30.714285714285325,2S,388,22,13,208,7226.0,7180.0,21,0,inside,top,7226.0,bottom,7180.0,top,7250.0,,,,
2023-12-12 21:41:00,2023-12-13 09:09:00,-1,7156.0,7128.714285714285,27.285714285714675,3S,688,24,14,218,7226.0,7180.0,22,1,below,top,7174.0,bottom,7144.0,top,7226.0,,,,
2023-12-13 13:58:00,2023-12-13 21:02:00,-1,7084.0,7091.0,-7.0,2S,424,28,18,254,7090.0,7088.0,27,0,inside,top,7090.0,bottom,7066.0,top,7160.0,,,,
2023-12-13 22:43:00,2023-12-14 09:05:00,1,7102.0,7091.0,-11.0,3B,622,31,20,274,7090.0,7066.0,29,1,above,bottom,7092.0,top,7132.0,bottom,7056.0,,,,
2023-12-14 14:11:00,2023-12-14 14:16:00,-1,7072.0,7079.0,-7.0,2S,5,32,21,294,7078.0,7062.0,31,0,inside,top,7078.0,bottom,7062.0,top,7132.0,,,,
2023-12-14 22:56:00,2023-12-15 09:00:00,1,7118.0,7102.0,-16.0,2B,604,33,22,313,7130.0,7112.0,32,0,inside,bottom,7112.0,top,7130.0,bottom,7062.0,,,,
2023-12-15 10:01:00,2023-12-15 11:17:00,1,7150.0,7125.0,-25.0,2B,76,35,24,324,7130.0,7126.0,34,0,inside,bottom,7126.0,top,7192.0,bottom,7112.0,,,,
2023-12-15 21:17:00,2023-12-18 09:00:00,-1,7080.0,7052.0,28.0,3S,3583,38,26,352,7158.0,7126.0,36,1,below,top,7116.0,bottom,7042.0,top,7158.0,,,,
2023-12-18 21:56:00,2023-12-18 22:42:00,1,7182.0,7169.0,-13.0,3B,46,43,30,403,7036.0,7012.0,41,1,above,bottom,7170.0,top,7200.0,bottom,7012.0,,,,
2023-12-19 11:11:00,2023-12-19 13:34:00,-1,7140.0,7159.0,-19.0,2S,143,44,31,421,7158.0,7116.0,43,0,inside,top,7158.0,bottom,7116.0,top,7200.0,,,,
2023-12-20 10:56:00,2023-12-20 11:18:00,1,7188.0,7171.0,-17.0,2B,22,51,38,465,7206.0,7172.0,50,0,inside,bottom,7172.0,top,7206.0,bottom,7160.0,,,,
2023-12-20 14:26:00,2023-12-20 21:00:00,-1,7180.0,7189.0,-9.0,2S,394,52,39,477,7188.0,7160.0,51,0,inside,top,7188.0,bottom,7154.0,top,7206.0,,,,
2023-12-21 09:11:00,2023-12-21 09:40:00,1,7190.0,7171.0,-19.0,2B,29,55,42,501,7188.0,7172.0,54,0,inside,bottom,7172.0,top,7260.0,bottom,7160.0,,,,
2023-12-21 14:26:00,2023-12-22 09:34:00,-1,7156.0,7008.857142857143,147.14285714285688,2S,1148,56,43,523,7182.0,7160.0,55,0,inside,top,7182.0,bottom,7098.0,top,7260.0,,,,
2023-12-22 09:34:00,2023-12-22 11:04:00,-1,7002.0,7075.0,-73.0,3S,90,59,45,551,7074.0,7042.0,58,0,below,bottom,6960.0,top,7074.0,bottom,7042.0,,,,
2023-12-22 14:46:00,2023-12-22 22:49:00,1,7134.0,7109.0,-25.0,3B,483,61,45,573,7074.0,7042.0,58,2,above,bottom,7110.0,top,7146.0,bottom,6960.0,,,,
2023-12-25 11:26:00,2023-12-25 21:09:00,1,7122.0,7149.285714285715,27.285714285714675,2B,583,65,49,612,7122.0,7096.0,64,0,inside,bottom,7096.0,top,7122.0,bottom,6968.0,,,,
2023-12-25 21:09:00,2023-12-26 22:49:00,1,7150.0,7231.571428571428,81.57142857142844,2B,1540,67,51,625,7122.0,7110.0,66,0,inside,bottom,7110.0,top,7152.0,bottom,7096.0,,,,
