entry_time,exit_time,direction,entry,exit,pnl,signal_type,hold_minutes,snap_bi_count,snap_pivot_count,snap_k_lines_count,snap_last_pivot_zg,snap_last_pivot_zd,snap_last_pivot_end_bi,snap_bi_since_pivot,snap_price_vs_pivot,snap_bi_n1_type,snap_bi_n1_price,snap_bi_n2_type,snap_bi_n2_price,snap_bi_n3_type,snap_bi_n3_price,snap_atr,snap_atr_pct,snap_diff_15m,snap_dea_15m
2023-08-15 22:22:00,2023-08-15 22:34:00,1,7564.0,7537.0,-27.0,3B,12,6,2,89,7280.0,7240.0,4,1,above,bottom,7538.0,top,7574.0,bottom,7234.0,,,,
2023-08-16 09:55:00,2023-08-16 11:05:00,-1,7518.0,7529.0,-11.0,2S,70,7,3,104,7528.0,7484.0,6,0,inside,top,7528.0,bottom,7484.0,top,7574.0,18.857142857142858,0.765,34.91622649817418,46.483144102856734
2023-08-17 10:47:00,2023-08-17 11:11:00,-1,7550.0,7561.0,-11.0,2S,24,15,11,155,7560.0,7532.0,14,0,inside,top,7560.0,bottom,7504.0,top,7586.0,,,,
2023-08-17 21:01:00,2023-08-18 10:37:00,1,7610.0,7626.285714285715,16.285714285714675,3B,816,18,13,170,7560.0,7542.0,16,1,above,bottom,7588.0,top,7606.0,bottom,7542.0,,,,
2023-08-18 14:36:00,2023-08-18 21:37:00,-1,7618.0,7602.285714285715,15.714285714285325,2S,421,23,18,215,7638.0,7614.0,22,0,inside,top,7638.0,bottom,7614.0,top,7676.0,,,,
2023-08-18 22:21:00,2023-08-21 09:00:00,-1,7604.0,7656.0,-52.0,2S,3519,25,20,227,7622.0,7614.0,24,0,inside,top,7622.0,bottom,7550.0,top,7638.0,,,,
2023-08-21 10:31:00,2023-08-21 14:04:00,1,7732.0,7659.0,-73.0,3B,213,28,22,245,7622.0,7600.0,26,1,above,bottom,7660.0,top,7768.0,bottom,7600.0,,,,
2023-08-21 14:46:00,2023-08-21 21:12:00,-1,7654.0,7693.0,-39.0,2S,386,31,25,264,7692.0,7660.0,30,0,inside,top,7692.0,bottom,7646.0,top,7716.0,,,,
2023-08-21 22:49:00,2023-08-22 09:20:00,-1,7640.0,7655.0,-15.0,2S,631,33,27,282,7654.0,7646.0,32,0,inside,top,7654.0,bottom,7616.0,top,7694.0,,,,
2023-08-22 13:31:00,2023-08-22 14:00:00,-1,7608.0,7584.285714285715,23.714285714285325,2S,29,35,29,302,7620.0,7616.0,34,0,inside,top,7620.0,bottom,7588.0,top,7680.0,,,,
2023-08-22 22:06:00,2023-08-22 22:14:00,1,7638.0,7621.0,-17.0,3B,8,38,31,326,7618.0,7588.0,36,1,above,bottom,7622.0,top,7666.0,bottom,7532.0,,,,
2023-08-23 09:41:00,2023-08-23 09:57:00,-1,7522.0,7547.0,-25.0,2S,16,39,32,340,7546.0,7532.0,38,0,inside,top,7546.0,bottom,7476.0,top,7666.0,,,,
2023-08-23 14:11:00,2023-08-23 14:21:00,1,7584.0,7571.0,-13.0,2B,10,40,33,355,7604.0,7572.0,39,0,inside,bottom,7572.0,top,7604.0,bottom,7476.0,,,,
2023-08-24 10:06:00,2023-08-24 10:53:00,1,7722.0,7705.0,-17.0,3B,47,42,34,386,7588.0,7528.0,40,1,above,bottom,7706.0,top,7740.0,bottom,7528.0,,,,
2023-08-24 14:06:00,2023-08-24 22:01:00,-1,7696.0,7666.857142857143,29.142857142856883,2S,475,43,35,398,7728.0,7678.0,42,0,inside,top,7728.0,bottom,7678.0,top,7740.0,,,,
2023-08-24 22:31:00,2023-08-24 22:45:00,-1,7642.0,7673.0,-31.0,3S,14,45,36,411,7728.0,7678.0,43,1,below,top,7672.0,bottom,7606.0,top,7728.0,,,,
2023-08-25 10:31:00,2023-08-25 10:36:00,1,7722.0,7697.0,-25.0,2B,5,46,37,428,7728.0,7698.0,45,0,inside,bottom,7698.0,top,7758.0,bottom,7606.0,,,,
2023-08-25 22:51:00,2023-08-28 09:10:00,1,7844.0,7861.142857142857,17.142857142856883,3B,3499,50,40,462,7748.0,7714.0,48,1,above,bottom,7824.0,top,7874.0,bottom,7714.0,,,,
2023-08-28 13:32:00,2023-08-28 14:52:00,-1,7780.0,7736.0,44.0,3S,80,53,42,483,7874.0,7824.0,51,1,below,top,7792.0,bottom,7764.0,top,7922.0,,,,
2023-08-28 21:31:00,2023-08-28 21:43:00,-1,7698.0,7725.0,-27.0,3S,12,55,43,498,7792.0,7764.0,53,1,below,top,7724.0,bottom,7670.0,top,7792.0,,,,
2023-08-29 10:11:00,2023-08-29 14:51:00,1,7810.0,7763.0,-47.0,2B,280,56,44,519,7792.0,7764.0,55,0,inside,bottom,7764.0,top,7794.0,bottom,7670.0,,,,
2023-08-29 21:46:00,2023-08-29 22:12:00,-1,7812.0,7835.0,-23.0,2S,26,61,48,545,7834.0,7810.0,60,0,inside,top,7834.0,bottom,7750.0,top,7842.0,,,,
2023-08-30 09:51:00,2023-08-30 10:37:00,1,7830.0,7815.0,-15.0,2B,46,62,49,562,7842.0,7816.0,61,0,inside,bottom,7816.0,top,7882.0,bottom,7750.0,,,,
2023-08-30 13:36:00,2023-08-30 14:30:00,-1,7808.0,7829.0,-21.0,2S,54,63,50,576,7828.0,7770.0,62,0,inside,top,7828.0,bottom,7770.0,top,7882.0,,,,
2023-08-30 21:51:00,2023-08-30 22:23:00,1,7876.0,7861.0,-15.0,3B,32,66,52,594,7828.0,7784.0,64,1,above,bottom,7862.0,top,7898.0,bottom,7784.0,,,,
2023-08-31 13:46:00,2023-08-31 14:22:00,1,7956.0,7929.0,-27.0,3B,36,70,55,623,7884.0,7862.0,68,1,above,bottom,7930.0,top,7954.0,bottom,7830.0,,,,
2023-09-01 10:54:00,2023-09-01 21:12:00,1,7900.0,7936.428571428572,36.42857142857156,2B,618,74,59,665,7914.0,7874.0,73,0,inside,bottom,7874.0,top,7936.0,bottom,7866.0,,,,
2023-09-01 21:12:00,2023-09-01 21:15:00,1,7946.0,7927.0,-19.0,2B,3,76,61,679,7936.0,7928.0,75,0,inside,bottom,7928.0,top,7980.0,bottom,7874.0,,,,
2023-09-01 22:06:00,2023-09-01 22:40:00,-1,7872.0,7893.0,-21.0,2S,34,77,62,687,7892.0,7874.0,76,0,inside,top,7892.0,bottom,7840.0,top,7980.0,,,,
2023-09-05 09:01:00,2023-09-05 09:45:00,1,7766.0,7735.0,-31.0,2B,44,80,64,742,7784.0,7736.0,79,0,inside,bottom,7736.0,top,7784.0,bottom,7708.0,,,,
2023-09-05 22:46:00,2023-09-06 10:40:00,1,7762.0,7761.142857142857,-0.857142857143117,2B,714,86,70,784,7772.0,7746.0,85,0,inside,bottom,7746.0,top,7798.0,bottom,7700.0,,,,
2023-09-06 14:11:00,2023-09-06 21:00:00,-1,7688.0,7707.0,-19.0,3S,409,89,72,813,7798.0,7764.0,87,1,below,top,7706.0,bottom,7662.0,top,7804.0,,,,
2023-09-07 09:51:00,2023-09-08 10:13:00,-1,7636.0,7556.285714285715,79.71428571428532,3S,1462,93,75,845,7706.0,7700.0,91,1,below,top,7672.0,bottom,7626.0,top,7732.0,,,,
2023-09-08 21:51:00,2023-09-08 22:09:00,1,7648.0,7635.0,-13.0,3B,18,102,81,915,7562.0,7504.0,100,1,above,bottom,7636.0,top,7680.0,bottom,7480.0,,,,
2023-09-11 10:42:00,2023-09-11 10:54:00,-1,7634.0,7645.0,-11.0,2S,12,105,84,936,7644.0,7620.0,104,0,inside,top,7644.0,bottom,7596.0,top,7656.0,,,,
2023-09-11 21:51:00,2023-09-12 09:00:00,-1,7458.0,7473.0,-15.0,3S,669,107,85,964,7656.0,7596.0,105,1,below,top,7472.0,bottom,7408.0,top,7670.0,,,,
2023-09-12 10:11:00,2023-09-12 11:08:00,1,7482.0,7451.0,-31.0,2B,57,110,88,984,7472.0,7452.0,109,0,inside,bottom,7452.0,top,7488.0,bottom,7432.0,,,,
