entry_time,exit_time,direction,entry,exit,pnl,signal_type,entry_rsi,entry_adx,entry_bb_width,entry_bb_pos,entry_ma5,entry_ma20,entry_ma60,entry_mom_10,entry_mom_20,entry_rvol_20,entry_macd_flip_20,entry_diff_15m,entry_dea_15m,entry_ma_aligned_bull,entry_ma_aligned_bear,entry_above_ma20,entry_above_ma60,contract
2021-08-16 21:40:00,2021-08-16 22:05:00,-1,8332.0,8389.0,-57.0,2S,49.504950495049506,52.07985843984164,1.2051998076389148,0.5825590091095478,8356.8,8341.7,8381.566666666668,0.4088504088504141,-0.47675804529201393,0.22729232724804904,2.0,8.038518181576364,26.082307416079765,0,0,1,1,P2201
2021-08-18 14:15:00,2021-08-18 14:55:00,-1,8174.0,8163.428571428572,10.571428571428442,2S,65.88235294117646,44.64451287304452,1.8069551837947055,0.6305549885434891,8173.6,8138.8,8254.733333333334,0.7409236848604506,0.22113022113021685,0.2639683782374269,1.0,-66.75626894552806,-63.97549263742166,0,0,1,0,P2201
2021-08-25 09:25:00,2021-08-25 10:10:00,1,8230.0,8205.0,-25.0,3B,41.111111111111114,48.52341917963645,1.2751394051017175,0.235170352526698,8226.8,8261.9,8173.733333333334,-0.6035731530661503,-0.12130033964095066,0.27002767070343925,1.0,52.41527902793223,43.96523570554685,0,0,0,1,P2201
2021-08-26 11:25:00,2021-08-26 13:35:00,-1,8310.0,8308.285714285714,1.714285714286234,2S,39.285714285714285,21.350116822878043,0.7197475246372791,0.1260450787367851,8311.6,8322.4,8345.933333333332,-0.07223693715386892,-0.40796736261099475,0.14761500263109054,2.0,15.547430669188543,27.188692617432988,0,1,0,0,P2201
2021-08-26 21:40:00,2021-08-26 22:00:00,-1,8254.0,8297.0,-43.0,2S,39.55223880597015,20.177079984532487,1.4487010822962758,0.2698977095796027,8272.0,8279.6,8310.033333333333,0.07276255154013977,-0.7457300938176536,0.3005851747071034,3.0,-4.200990446663127,0.7998910343074294,0,1,1,1,P2201
2021-08-27 09:55:00,2021-08-27 10:40:00,-1,8236.0,8242.285714285714,-6.285714285713766,2S,50.0,38.947573694119555,2.3199599177221324,0.5188630621813904,8250.4,8226.4,8270.366666666667,1.2798424809254305,-0.9388541165141984,0.3733437114323734,2.0,-25.882523108180976,-14.147650227832212,0,0,1,0,P2201
2021-08-30 09:00:00,2021-08-30 09:45:00,1,8318.0,8364.57142857143,46.57142857142935,2B,75.0,32.11477719673601,1.2744639988107436,1.2084582420804608,8283.6,8273.3,8276.766666666666,0.4572803850782181,1.0164569215876051,0.3126502909018639,3.0,1.0088402492056048,1.7655336716210244,0,0,1,1,P2201
2021-08-30 15:00:00,2021-08-30 21:25:00,-1,8208.0,8223.0,-15.0,2S,41.66666666666667,31.295831999040853,0.9365700472578543,0.3479818948979902,8209.2,8217.7,8275.366666666667,0.09758477677481725,-0.5092143549951467,0.15796586515441974,3.0,-22.370731809931385,-12.462118411452643,0,1,1,0,P2201
2021-09-08 14:00:00,2021-09-08 21:10:00,1,8446.0,8535.42857142857,89.42857142857065,2B,47.11538461538462,27.311880717507723,1.0262705830272951,0.4722537546161582,8432.0,8428.4,8382.466666666667,-0.2131691141639025,0.309523809523804,0.2114601919181865,1.0,19.597720832924097,14.846534185638573,1,0,1,1,P2201
2021-09-23 10:30:00,2021-09-23 21:20:00,1,8390.0,8631.714285714286,241.71428571428623,2B,60.91954022988505,11.93745281665068,0.9451989862972693,0.6033797506524958,8388.8,8391.8,8385.466666666667,-0.2612206126810679,0.2625925041776167,0.21686336024334812,2.0,20.888380300566496,22.00093557281237,0,0,1,1,P2201
2021-09-23 21:50:00,2021-09-23 22:15:00,1,8612.0,8589.0,-23.0,3B,51.89873417721518,27.767905134595196,1.0386371189809813,0.2946359637684245,8608.0,8626.4,8512.166666666666,-0.6922011998154121,0.11630611770179211,0.1896702223146596,1.0,72.56539856944073,63.58759355465781,0,0,0,1,P2201
2021-09-30 11:05:00,2021-09-30 13:40:00,1,8836.0,8805.0,-31.0,3B,49.33333333333333,22.85695793676078,0.713252777286012,0.36215332026283104,8831.6,8848.7,8745.733333333334,-0.45045045045044585,-0.1129943502824804,0.15127601505337107,1.0,65.63456019202931,59.27068579479565,0,0,0,1,P2201
2021-10-08 11:10:00,2021-10-08 11:25:00,1,9332.0,9279.0,-53.0,3B,34.42622950819671,39.33018208610357,1.9074898623472354,0.17841598043757986,9311.6,9357.4,9044.9,-0.8317338451695466,-0.556030795551754,0.3710362179380456,1.0,166.00382709778205,135.20984094465408,0,0,0,1,P2201
2021-10-12 11:15:00,2021-10-12 11:20:00,-1,9358.0,9385.0,-27.0,2S,67.85714285714286,22.06455062450981,1.327755701770474,0.6665746088525948,9365.2,9359.3,9436.266666666666,0.08536064874093974,-0.0852151682999569,0.3085777614284156,1.0,-24.398396168562613,-13.300150744606055,0,0,1,0,P2201
2021-10-12 22:10:00,2021-10-12 22:40:00,-1,9364.0,9296.285714285714,67.71428571428623,2S,48.14814814814815,18.44769533985647,1.003667002012987,0.17477866031308095,9366.0,9374.6,9373.4,-0.4898828541001099,-0.2774813233724638,0.2524613086024127,6.0,-16.54108430985434,-15.599973644030488,0,0,0,0,P2201
2021-10-15 14:35:00,2021-10-15 21:15:00,1,9420.0,9375.0,-45.0,2B,58.62068965517241,43.14324836782219,1.692024047092784,0.7910997727040243,9402.4,9379.8,9326.4,0.2979357310066044,1.6609145815358106,0.2110835209995772,3.0,20.201938544350924,9.688953602796966,1,0,0,1,P2201
2021-10-15 22:40:00,2021-10-18 09:20:00,1,9430.0,9552.285714285714,122.28571428571377,2B,60.869565217391305,12.808616072064961,1.342527193070333,0.6353448891096733,9407.6,9410.9,9375.3,-0.10595465140920135,0.12744265080713024,0.2647098899910735,2.0,28.900926466194505,24.42540599916688,0,0,1,1,P2201
2021-10-18 10:05:00,2021-10-18 11:20:00,1,9450.0,9459.714285714286,9.714285714286234,2B,39.25925925925927,31.265930513431424,3.0531276709454347,0.33588182892298335,9426.8,9499.6,9436.8,-1.562174546969386,0.46768707482993666,0.5200630308234774,2.0,44.11073541264159,40.487745551204995,0,0,0,1,P2201
2021-10-18 14:55:00,2021-10-18 22:10:00,1,9574.0,9604.57142857143,30.57142857142935,2B,54.54545454545455,31.422349504550713,1.4894024736693505,0.5722799102395194,9562.4,9567.7,9510.133333333333,-0.18757815756564877,1.204564666103125,0.31510476753705785,2.0,45.61722347655996,38.21662767683392,0,0,0,1,P2201
2021-10-19 14:35:00,2021-10-19 21:00:00,1,9714.0,9679.0,-35.0,2B,64.48598130841123,30.25471896638445,2.0456028863041644,0.7192530344292952,9705.6,9676.6,9626.533333333333,0.16488046166529546,1.2710981454469694,0.2156800642626013,1.0,38.24458094766487,33.70781318260376,1,0,1,1,P2201
2021-10-26 10:15:00,2021-10-26 11:20:00,1,9710.0,9737.714285714286,27.714285714286234,3B,46.78899082568807,40.836554971764606,1.161812413983845,0.6478314283141619,9698.0,9723.3,9640.8,0.08220304151254076,0.37098103874690924,0.21097468665484406,1.0,45.82400633020734,43.213059640011636,0,0,1,1,P2201
2021-10-26 22:55:00,2021-10-27 09:15:00,-1,9678.0,9638.57142857143,39.42857142857065,2S,56.310679611650485,15.194573501928604,1.1264068414724038,0.24563267420654794,9677.2,9667.7,9694.6,-0.20703933747412417,-0.6595218466611708,0.23719096778691112,2.0,3.5332695076049276,11.467300122845996,0,0,0,0,P2201
2021-10-28 11:30:00,2021-10-28 13:50:00,-1,9334.0,9383.0,-49.0,2S,53.33333333333333,60.20572429036493,1.708673524771396,0.3973729879958109,9352.8,9352.4,9460.133333333333,0.2577319587628857,-1.2899133009092845,0.31888242712891024,1.0,-65.96678029310169,-55.730163683716825,0,0,1,0,P2201
2021-10-29 14:45:00,2021-10-29 14:50:00,1,9726.0,9695.0,-31.0,3B,47.142857142857146,31.877422835998487,1.0207314650456007,0.4112197916342486,9718.4,9710.8,9618.766666666666,-0.3492193919474085,0.4139929621196359,0.15274893212145482,1.0,60.353033019451686,49.12557749088627,1,0,0,1,P2201
2021-11-05 09:20:00,2021-11-05 10:40:00,-1,9404.0,9473.0,-69.0,2S,32.30769230769231,42.78493619651475,2.291582929216026,0.029070207112033165,9417.2,9470.2,9571.633333333333,-0.615319329514108,-2.314911366006256,0.3276818216376285,3.0,-65.22237475720067,-58.492813873929364,0,1,0,0,P2201
2021-11-10 13:50:00,2021-11-10 21:05:00,1,9072.0,9236.57142857143,164.57142857142935,3B,44.166666666666664,34.88447263848713,1.205546681408791,0.3524314540060401,9068.4,9106.2,9032.4,-0.2852128126371256,0.11013215859030367,0.28065330195848887,2.0,25.021333913546187,14.26642317513549,0,0,1,1,P2201
2021-11-11 09:20:00,2021-11-11 10:15:00,1,9342.0,9374.285714285714,32.285714285713766,3B,50.0,23.05802707290523,0.9785482249352967,0.5622570421866738,9330.4,9356.3,9246.733333333334,-0.06404782237403595,-0.021358393848780466,0.3011819887510753,1.0,74.15355979698143,73.28420268442011,0,0,1,1,P2201
2021-11-16 21:10:00,2021-11-16 23:00:00,-1,9504.0,9553.0,-49.0,2S,44.6969696969697,53.92265304526687,1.4641858668390433,0.18842847385073958,9499.2,9513.4,9568.8,-0.3787081843046547,-1.4568158168574374,0.27146590202125936,1.0,-3.826498014082972,16.980490616916242,0,1,1,0,P2201
2021-11-19 14:15:00,2021-11-19 21:00:00,1,9882.0,9880.0,-2.0,3B,55.421686746987945,43.51682849937084,0.6690936663167852,0.8785227075604691,9880.0,9871.0,9830.1,0.20251113811260435,0.671414038657181,0.13665321490524368,1.0,35.62385183839979,35.48876430627328,1,0,0,0,P2201
2021-11-25 09:25:00,2021-11-25 11:20:00,1,9650.0,9675.42857142857,25.42857142857065,2B,60.36866359447005,58.0165104881371,2.646287783628059,0.573549482075495,9649.2,9659.2,9598.666666666666,-0.4730563554092959,1.0229645093945638,0.4127884853524804,2.0,22.90494930078421,6.105874582569647,0,0,1,1,P2201
2021-11-30 14:40:00,2021-11-30 15:00:00,-1,9116.0,9151.0,-35.0,2S,33.050847457627114,60.4022036369359,2.243837328376185,0.2620043500964393,9122.8,9156.9,9264.633333333333,-0.2191060473269113,-1.6839378238341918,0.2724363048267668,2.0,-83.1215492734591,-73.36630007108349,0,1,0,0,P2201
2021-12-02 13:50:00,2021-12-02 13:55:00,-1,9090.0,9119.0,-29.0,2S,51.23456790123458,41.213943111759036,1.733540041807994,0.7321025340282173,9090.8,9071.5,9144.5,1.177516107531651,-0.3937007874015741,0.3040232139432417,2.0,-39.75565308291334,-27.535097100099826,0,0,1,0,P2201
2021-12-03 23:00:00,2021-12-06 09:05:00,1,9570.0,9547.0,-23.0,3B,57.74647887323944,30.248709701625096,0.5132901015660193,0.9686640363428543,9568.8,9561.0,9443.066666666668,0.2091175240485077,0.419111483654655,0.15539791183731358,1.0,88.60062990117513,84.92179403183289,1,0,0,1,P2201
2021-12-07 13:30:00,2021-12-07 14:35:00,1,9678.0,9595.0,-83.0,3B,72.22222222222223,42.62117281939893,1.3364334342200173,1.2289159309309892,9646.4,9608.4,9561.7,0.8733624454148492,1.358127872962811,0.24452025459720506,5.0,30.359094649793406,25.462031999884175,1,0,0,1,P2201
2021-12-08 11:00:00,2021-12-08 11:20:00,-1,9492.0,9535.0,-43.0,2S,59.166666666666664,30.962141169810042,1.2679570539658367,0.6155639978611602,9501.2,9486.1,9555.433333333332,0.6569188387370195,0.0,0.2511754635798097,1.0,-25.929454413861095,-15.820909114130732,0,0,1,0,P2201
2021-12-08 22:10:00,2021-12-08 22:30:00,-1,9340.0,9365.0,-25.0,2S,50.0,17.338896353465977,0.7228794929525523,0.5651716168177787,9346.4,9339.6,9420.566666666668,-0.10690613641223257,0.06425358749195809,0.22054447437477223,1.0,-59.05371149321036,-50.71469185977894,0,0,1,0,P2201
2021-12-09 22:05:00,2021-12-09 22:15:00,-1,9192.0,9239.0,-47.0,2S,39.2156862745098,45.90763188929331,1.6227340005646473,0.4186186041381609,9215.6,9238.2,9342.2,0.1737242128121652,-0.5604656175900002,0.23429139553553824,1.0,-48.81580279164882,-34.81616759778869,0,1,0,0,P2201
2021-12-16 21:15:00,2021-12-17 09:00:00,1,7828.0,7962.0,134.0,3B,54.6875,44.167590307792864,0.7472287006584479,0.7791040759835389,7820.4,7815.7,7763.533333333334,0.025542784163468113,0.8498583569405138,0.15936106009859596,1.0,32.10395322576642,27.476480889452624,1,0,1,1,P2205
2021-12-17 09:35:00,2021-12-17 11:10:00,1,7988.0,7957.0,-31.0,3B,50.0,42.257813656993925,0.63048756892625,0.8581200915908448,7976.8,7972.0,7864.366666666667,0.17552657973922692,0.9093205354887557,0.20712138569081948,1.0,62.089727171766754,53.07324985839503,1,0,0,1,P2205
